Customer ID,Number of Items,Kiosk Type,Kiosk Number,Time In Line,Time to Checkout,Employee Involved?
505,2.0,self,1,0.0,72.9592301066,False
506,27.0,cashier,0,0.0,81.6755226479,False
507,23.0,cashier,1,0.0,46.6007248368,False
508,19.0,cashier,2,0.0,63.201041371,False
509,26.0,cashier,3,0.0,49.5224592735,False
510,5.0,cashier,0,0.0,15.1250967867,False
511,6.0,cashier,0,0.0,18.150116144,False
514,6.0,cashier,1,0.0,12.156710827,False
515,6.0,cashier,2,0.0,19.9582235908,False
517,8.0,cashier,1,0.0,16.2089477693,False
513,4.0,self,0,0.0,68.1014579243,False
512,28.0,cashier,0,0.0,84.7005420052,False
516,23.0,cashier,3,0.0,43.8083293573,False
519,20.0,cashier,1,0.0,40.5223694233,False
521,18.0,cashier,0,0.0,54.4503484319,False
522,16.0,cashier,1,0.0,32.4178955386,False
518,5.0,self,1,0.0,117.578491115,False
524,9.0,cashier,1,0.0,18.2350662405,False
523,21.0,cashier,0,0.0,63.5254065039,False
520,4.0,self,0,0.0,151.805931862,False
525,18.0,cashier,1,0.0,36.4701324809,False
528,16.0,cashier,0,0.0,48.4003097173,False
529,1,self,2,0.0,43.9742405591,True
526,4.0,self,0,0.0,178.665411938,True
531,23.0,cashier,1,0.0,46.6007248368,False
530,26.0,cashier,0,0.0,78.6505032906,False
536,10.0,cashier,1,0.0,20.2611847116,False
532,28.0,cashier,2,0.0,93.1383767573,False
535,29.0,cashier,0,0.0,87.7255613626,False
537,27.0,cashier,1,0.0,54.7051987214,False
538,7.0,cashier,2,0.0,23.2845941893,False
527,17.0,self,1,0.0,301.047517733,False
539,25.0,cashier,3,0.0,47.6177493014,False
533,2.0,self,2,0.0,200.741022636,True
541,21.0,cashier,1,0.0,42.5484878944,False
540,25.0,cashier,0,0.0,75.6254839333,False
543,2.0,self,1,0.0,53.3905052886,False
534,4.0,self,0,0.0,259.887240239,True
545,2.0,self,2,0.0,59.8434389172,False
548,23.0,cashier,3,0.0,43.8083293573,False
542,40.0,cashier,2,0.0,133.054823939,False
547,30.0,cashier,1,0.0,60.7835541349,False
544,32.0,cashier,0,0.0,96.8006194346,False
550,9.0,cashier,1,0.0,18.2350662405,False
549,4.0,self,1,0.0,103.269642982,True
546,3.0,self,0,30.4623174605,147.730193478,False
551,26.0,cashier,0,0.0,78.6505032906,False
553,24.0,cashier,1,0.0,48.6268433079,False
552,4.0,self,2,0.0,134.634747954,True
554,25.0,cashier,2,0.0,83.1592649619,False
556,1,self,0,0.0,36.7602188487,False
558,7.0,cashier,2,0.0,23.2845941893,False
555,33.0,cashier,0,0.0,99.8256387919,False
557,31.0,cashier,1,0.0,62.8096726061,False
